what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_GB",1584451944372
processors,sysinfo,,,"6",1584451944372
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584451944372
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1584451944372
java.specification.name,sysinfo,,,"Java Platform API Specification",1584451944372
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584451944372
java.specification.version,sysinfo,,,"1.6",1584451944372
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1584451944372
java.version,sysinfo,,,"1.6.0_23",1584451944372
java.vm.info,sysinfo,,,"mixed mode",1584451944372
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1584451944372
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1584451944372
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584451944372
java.vm.specification.version,sysinfo,,,"1.0",1584451944372
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1584451944372
java.vm.version,sysinfo,,,"19.0-b09",1584451944372
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584451945586
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584451947926
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1584451948155
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1584451948181
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1584451952034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451952060
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1584451952127
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1584451952131
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1584451952131
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1584451952132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451953900
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584451956465
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1584451957194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451957487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451960666
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584451964546
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1584451966136
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1584451966139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451967519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451969382
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1584451974900
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1584451979525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451979663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584451992998
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1584451993013
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584451997429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1584452001804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1584452003490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584452004912
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584452007932
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1584452007941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584452007980
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1584452007996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1584452007996
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1584452011133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584452011561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584452033062
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584452035999
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1584452036063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1584452042308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1584452043751
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1584452052039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584452052363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1584452068235
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1584452069157
